file,engine_verdict,mp3_lattice,vorbis_detector
audio/fd-exchange-v3-setA-r2-0037.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0038.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0039.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0040.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0041.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0042.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0043.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0044.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0045.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0046.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0047.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0048.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0049.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0050.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0051.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0052.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0053.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0054.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0055.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0056.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0057.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0058.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0059.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0060.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0061.flac,GENUINE,FIRES,-
audio/fd-exchange-v3-setA-r2-0062.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0063.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0064.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0065.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0066.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0067.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0068.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0069.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0070.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0071.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0072.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0073.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0074.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0075.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0076.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0077.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0078.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0079.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0080.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0081.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0082.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0083.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0084.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0085.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0086.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0087.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0088.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0089.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0090.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0091.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0092.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0093.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0094.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0095.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0096.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0097.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0098.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0099.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0100.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0101.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0102.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0103.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0104.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0105.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0106.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0107.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0108.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0109.flac,GENUINE,-,FIRES
audio/fd-exchange-v3-setA-r2-0110.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0111.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0112.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0113.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0114.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0115.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0116.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0117.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0118.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0119.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0120.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0121.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0122.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0123.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0124.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0125.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0126.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0127.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0128.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0129.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0130.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0131.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0132.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0133.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0134.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0135.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0136.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0137.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0138.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0139.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0140.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0141.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0142.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0143.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0144.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0145.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0146.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0147.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0148.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0149.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0150.flac,GENUINE,-,FIRES
audio/fd-exchange-v3-setA-r2-0151.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0152.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0153.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0154.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0155.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0156.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0157.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0158.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0159.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0160.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0161.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0162.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0163.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0164.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0165.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0166.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0167.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0168.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0169.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0170.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0171.flac,GENUINE,FIRES,-
audio/fd-exchange-v3-setA-r2-0172.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0173.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0174.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0175.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0176.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0177.flac,GENUINE,FIRES,-
audio/fd-exchange-v3-setA-r2-0178.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0179.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0180.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0181.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0182.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0183.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0184.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0185.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0186.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0187.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0188.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0189.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0190.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0191.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0192.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0193.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0194.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0195.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0196.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0197.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0198.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0199.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0200.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0201.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0202.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0203.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0204.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0205.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0206.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0207.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0208.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0209.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0210.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0211.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0212.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0213.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0214.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0215.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0216.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0217.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0218.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0219.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0220.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0221.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0222.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0223.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0224.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0225.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0226.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0227.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0228.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0229.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0230.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0231.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0232.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0233.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0234.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0235.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0236.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0237.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0238.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0239.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0240.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0241.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0242.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0243.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0244.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0245.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0246.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0247.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0248.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0249.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0250.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0251.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0252.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0253.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0254.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0255.flac,GENUINE,-,FIRES
audio/fd-exchange-v3-setA-r2-0256.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0257.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0258.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0259.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0260.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0261.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0262.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0263.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0264.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0265.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0266.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0267.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0268.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0269.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0270.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0271.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0272.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0273.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0274.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0275.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0276.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0277.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0278.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0279.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0280.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0281.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0282.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0283.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0284.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0285.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0286.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0287.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0288.flac,SUSPECT,-,-
