file,corpus,label,score,verdict,cutoff_hz,cutoff_std_hz,cassette_reasons,rule11,rule1,evidence_families
fd-exchange-v2-2026-08-0076.flac,fd-exchange-v2,,92,FAKE_CERTAIN,17500.0,nan,,0,50,cnn+spectral
fd-exchange-v2-2026-08-0084.flac,fd-exchange-v2,,112,FAKE_CERTAIN,18500.0,nan,R11B: Natural cassette roll-off (-4.3 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 21.5x higher at frame alignment 0 than at any other (+55pts),0,50,mdct+spectral
fd-exchange-v2-2026-08-0086.flac,fd-exchange-v2,,75,FAKE_CERTAIN,17000.0,nan,"R11B: Natural cassette roll-off (-5.8 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17000 Hz < 20000 Hz (+15pts) | R15: the stereo side channel dies in runs of 4 bins above 10 kHz — independent witness, no points | R10: High cutoff variance (1625 Hz) -> Likely dynamic mastering (-20pts) | R12: CNN classifier flags transcode (p=0.97 [raw 0.94], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0108.flac,fd-exchange-v2,,11,AUTHENTIC,17750.0,nan,R11B: Natural cassette roll-off (-5.7 dB/kHz) (likely cassette) | R2: Cutoff 17750 Hz < 20000 Hz (+11pts),0,0,
fd-exchange-v2-2026-08-0123.flac,fd-exchange-v2,,91,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.4 dB/kHz) (likely cassette) | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 12.3x higher at frame alignment 0 than at any other (+55pts) | R14: high-frequency variation collapses at 18637 Hz (0.87) — independent witness, no points | R15: the stereo side channel dies in runs of 19 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.98], 3 windows, confidence=very high, +30pts)",0,0,cnn+mdct+stereo+temporal
fd-exchange-v2-2026-08-0125.flac,fd-exchange-v2,,87,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-5.1 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R15: the stereo side channel dies in runs of 14 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.97], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0133.flac,fd-exchange-v2,,86,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.6 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R14: high-frequency variation collapses at 20112 Hz (0.86) — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+temporal
fd-exchange-v2-2026-08-0134.flac,fd-exchange-v2,,86,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R14: high-frequency variation collapses at 18734 Hz (0.68) — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+temporal
fd-exchange-v2-2026-08-0135.flac,fd-exchange-v2,,82,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.5 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R13: possible MDCT alignment structure (2.4x at offset 832, vorbis window) (+25pts) | R15: the stereo side channel dies in runs of 12 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo
fd-exchange-v2-2026-08-0142.flac,fd-exchange-v2,,86,FAKE_CERTAIN,18750.0,nan,,0,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0144.flac,fd-exchange-v2,,11,AUTHENTIC,17750.0,nan,R11B: Natural cassette roll-off (-5.6 dB/kHz) (likely cassette) | R2: Cutoff 17750 Hz < 20000 Hz (+11pts),0,0,
fd-exchange-v2-2026-08-0145.flac,fd-exchange-v2,,57,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.9 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R14: high-frequency variation collapses at 18486 Hz (0.62) — independent witness, no points | R15: the stereo side channel dies in runs of 3 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0146.flac,fd-exchange-v2,,6,AUTHENTIC,18750.0,nan,"R11B: Natural cassette roll-off (-3.3 dB/kHz) (likely cassette) | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R14: high-frequency variation collapses at 18648 Hz (0.88) — independent witness, no points | R15: the stereo side channel dies in runs of 11 bins above 10 kHz — independent witness, no points",0,0,stereo+temporal
fd-exchange-v2-2026-08-0159.flac,fd-exchange-v2,,57,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.6 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R14: high-frequency variation collapses at 18605 Hz (0.71) — independent witness, no points | R15: the stereo side channel dies in runs of 6 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0164.flac,fd-exchange-v2,,78,FAKE_CERTAIN,19250.0,nan,,,50,mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0171.flac,fd-exchange-v2,,93,FAKE_CERTAIN,17250.0,nan,"R11B: Natural cassette roll-off (-5.0 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17259 Hz (0.91) — independent witness, no points | R15: the stereo side channel dies in runs of 3 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.98], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0176.flac,fd-exchange-v2,,123,FAKE_CERTAIN,18250.0,nan,"R11B: Natural cassette roll-off (-3.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18250 Hz < 22000 Hz (+19pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 32.7x higher at frame alignment 0 than at any other (+55pts) | R14: high-frequency variation collapses at 18164 Hz (0.78) — independent witness, no points | R15: the stereo side channel dies in runs of 17 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0181.flac,fd-exchange-v2,,63,FAKE_CERTAIN,17250.0,nan,"R11B: Natural cassette roll-off (-5.8 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17291 Hz (0.92) — independent witness, no points | R15: the stereo side channel dies in runs of 2 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0184.flac,fd-exchange-v2,,43,WARNING,17250.0,nan,"R11B: Natural cassette roll-off (-5.2 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 22018 Hz (0.73) — independent witness, no points | R10: High cutoff variance (3025 Hz) -> Likely dynamic mastering (-20pts)",0,50,spectral+temporal
fd-exchange-v2-2026-08-0188.flac,fd-exchange-v2,,115,FAKE_CERTAIN,18000.0,nan,"R11B: Natural cassette roll-off (-5.2 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18000 Hz < 20000 Hz (+10pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 3.9x higher at frame alignment 0 than at any other (+55pts) | R15: the stereo side channel dies in runs of 12 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo
fd-exchange-v2-2026-08-0192.flac,fd-exchange-v2,,0,AUTHENTIC,21250.0,nan,,,0,
fd-exchange-v2-2026-08-0194.flac,fd-exchange-v2,,12,AUTHENTIC,17500.0,nan,R11B: Natural cassette roll-off (-5.7 dB/kHz) (likely cassette) | R2: Cutoff 17500 Hz < 20000 Hz (+12pts),0,0,
fd-exchange-v2-2026-08-0211.flac,fd-exchange-v2,,90,FAKE_CERTAIN,18000.0,nan,"R11B: Natural cassette roll-off (-4.7 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18000 Hz < 20000 Hz (+10pts) | R15: the stereo side channel dies in runs of 5 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.98 [raw 0.95], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0217.flac,fd-exchange-v2,,38,WARNING,18250.0,nan,"R11B: Natural cassette roll-off (-5.5 dB/kHz) (likely cassette) | R2: Cutoff 18250 Hz < 20000 Hz (+9pts) | R14: high-frequency variation collapses at 18174 Hz (0.67) — independent witness, no points | R15: the stereo side channel dies in runs of 5 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.98 [raw 0.95], 3 windows, confidence=very high, +30pts)",0,0,cnn+stereo+temporal
fd-exchange-v2-2026-08-0220.flac,fd-exchange-v2,,43,WARNING,17250.0,nan,,0,0,cnn+stereo+temporal
fd-exchange-v2-2026-08-0222.flac,fd-exchange-v2,,13,AUTHENTIC,17250.0,nan,,0,0,stereo+temporal
fd-exchange-v2-2026-08-0231.flac,fd-exchange-v2,,55,SUSPICIOUS,22050.0,nan,,,0,mdct
fd-exchange-v2-2026-08-0234.flac,fd-exchange-v2,,80,FAKE_CERTAIN,20000.0,nan,,,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0240.flac,fd-exchange-v2,,51,WARNING,15750.0,nan,"R11B: Natural cassette roll-off (-4.9 dB/kHz) (likely cassette) | R2: Cutoff 15750 Hz < 20000 Hz (+21pts) | R14: high-frequency variation collapses at 14018 Hz (0.64) — independent witness, no points | R15: the stereo side channel dies in runs of 9 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.96 [raw 0.94], 3 windows, confidence=very high, +30pts)",0,0,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0242.flac,fd-exchange-v2,,88,FAKE_CERTAIN,18250.0,nan,"R11B: Natural cassette roll-off (-4.0 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18250 Hz < 20000 Hz (+9pts) | R15: the stereo side channel dies in runs of 9 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.97], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0243.flac,fd-exchange-v2,,112,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 3.1x higher at frame alignment 0 than at any other (+55pts) | R14: high-frequency variation collapses at 19574 Hz (0.64) — independent witness, no points | R15: the stereo side channel dies in runs of 2 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0251.flac,fd-exchange-v2,,70,FAKE_CERTAIN,16000.0,nan,"R11B: Natural cassette roll-off (-4.0 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 160 kbps | R2: Cutoff 16000 Hz < 20000 Hz (+20pts) | R14: high-frequency variation collapses at 16021 Hz (0.69) — independent witness, no points",0,50,spectral+temporal
fd-exchange-v2-2026-08-0252.flac,fd-exchange-v2,,112,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R13: MDCT quantisation grid detected (vorbis window) — hole density 4.0x higher at frame alignment 448 than at any other (+55pts) | R15: the stereo side channel dies in runs of 6 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo
fd-exchange-v2-2026-08-0253.flac,fd-exchange-v2,,66,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.8 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 22000 Hz (+16pts) | R15: the stereo side channel dies in runs of 19 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo
fd-exchange-v2-2026-08-0258.flac,fd-exchange-v2,,13,AUTHENTIC,17250.0,nan,"R11B: Natural cassette roll-off (-5.3 dB/kHz) (likely cassette) | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17248 Hz (0.86) — independent witness, no points",0,0,temporal
fd-exchange-v2-2026-08-0260.flac,fd-exchange-v2,,37,WARNING,17250.0,nan,"R11B: Natural cassette roll-off (-5.0 dB/kHz) (likely cassette) | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17248 Hz (0.82) — independent witness, no points | R12: CNN classifier flags transcode (p=0.85 [raw 0.83], 3 windows, confidence=high, +24pts)",0,0,cnn+temporal
fd-exchange-v2-2026-08-0261.flac,fd-exchange-v2,,56,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.3 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R15: the stereo side channel dies in runs of 9 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo
fd-exchange-v2-2026-08-0268.flac,fd-exchange-v2,,0,AUTHENTIC,21500.0,nan,,,0,
fd-exchange-v2-2026-08-0279.flac,fd-exchange-v2,,90,FAKE_CERTAIN,18000.0,nan,"R11B: Natural cassette roll-off (-5.8 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18000 Hz < 20000 Hz (+10pts) | R14: high-frequency variation collapses at 18400 Hz (0.60) — independent witness, no points | R15: the stereo side channel dies in runs of 11 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0281.flac,fd-exchange-v2,,12,AUTHENTIC,17500.0,nan,"R11B: Natural cassette roll-off (-5.7 dB/kHz) (likely cassette) | R2: Cutoff 17500 Hz < 20000 Hz (+12pts) | R14: high-frequency variation collapses at 20026 Hz (0.61) — independent witness, no points | R15: the stereo side channel dies in runs of 12 bins above 10 kHz — independent witness, no points",0,0,stereo+temporal
fd-exchange-v2-2026-08-0295.flac,fd-exchange-v2,,57,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R14: high-frequency variation collapses at 20026 Hz (0.64) — independent witness, no points | R15: the stereo side channel dies in runs of 4 bins above 10 kHz — independent witness, no points | R10: Consistent anomaly across the whole file (variance 490 Hz)",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0299.flac,fd-exchange-v2,,31,WARNING,18750.0,nan,"R11B: Natural cassette roll-off (-4.0 dB/kHz) (likely cassette) | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R13: possible MDCT alignment structure (2.3x at offset 0, kbd window) (+25pts) | R14: high-frequency variation collapses at 19326 Hz (0.89) — independent witness, no points | R15: the stereo side channel dies in runs of 17 bins above 10 kHz — independent witness, no points",0,0,mdct+stereo+temporal
fd-exchange-v2-2026-08-0310.flac,fd-exchange-v2,,112,FAKE_CERTAIN,18500.0,nan,R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 13.3x higher at frame alignment 0 than at any other (+55pts),0,50,mdct+spectral
fd-exchange-v2-2026-08-0312.flac,fd-exchange-v2,,13,AUTHENTIC,17250.0,nan,"R11B: Natural cassette roll-off (-5.7 dB/kHz) (likely cassette) | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17248 Hz (0.75) — independent witness, no points | R15: the stereo side channel dies in runs of 36 bins above 10 kHz — independent witness, no points",0,0,stereo+temporal
fd-exchange-v2-2026-08-0346.flac,fd-exchange-v2,,61,FAKE_CERTAIN,17500.0,nan,"R11B: Natural cassette roll-off (-5.2 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 17500 Hz < 20000 Hz (+12pts) | R14: high-frequency variation collapses at 20026 Hz (0.66) — independent witness, no points | R15: the stereo side channel dies in runs of 4 bins above 10 kHz — independent witness, no points | R10: High cutoff variance (2000 Hz) -> Likely dynamic mastering (-20pts) | R12: CNN classifier flags transcode (p=0.78 [raw 0.80], 3 windows, spread 0.61, confidence=moderate, +19pts)",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0350.flac,fd-exchange-v2,,52,WARNING,15500.0,nan,"R11B: Natural cassette roll-off (-3.9 dB/kHz) (likely cassette) | R2: Cutoff 15500 Hz < 20000 Hz (+22pts) | R14: high-frequency variation collapses at 20155 Hz (0.72) — independent witness, no points | R15: the stereo side channel dies in runs of 7 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.98], 3 windows, confidence=very high, +30pts)",0,0,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0353.flac,fd-exchange-v2,,55,FAKE_CERTAIN,22500.0,nan,,,0,mdct+stereo+temporal
fd-exchange-v2-2026-08-0356.flac,fd-exchange-v2,,125,FAKE_CERTAIN,18000.0,nan,"R11B: Natural cassette roll-off (-6.0 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18000 Hz < 22000 Hz (+20pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 7.0x higher at frame alignment 0 than at any other (+55pts) | R14: high-frequency variation collapses at 17285 Hz (0.82) — independent witness, no points | R15: the stereo side channel dies in runs of 3 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0365.flac,fd-exchange-v2,,31,WARNING,24000.0,nan,,,0,cnn+stereo
fd-exchange-v2-2026-08-0375.flac,fd-exchange-v2,,31,WARNING,22050.0,nan,,,0,cnn
fd-exchange-v2-2026-08-0382.flac,fd-exchange-v2,,36,WARNING,18750.0,nan,"R11B: Natural cassette roll-off (-3.1 dB/kHz) (likely cassette) | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R14: high-frequency variation collapses at 18669 Hz (0.70) — independent witness, no points | R15: the stereo side channel dies in runs of 10 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.97], 3 windows, confidence=very high, +30pts)",0,0,cnn+stereo+temporal
fd-exchange-v2-2026-08-0385.flac,fd-exchange-v2,,86,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-3.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R15: the stereo side channel dies in runs of 5 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.98 [raw 0.95], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0398.flac,fd-exchange-v2,,45,WARNING,17000.0,nan,"R11B: Natural cassette roll-off (-5.3 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17000 Hz < 20000 Hz (+15pts) | R14: high-frequency variation collapses at 22018 Hz (0.82) — independent witness, no points | R10: High cutoff variance (3025 Hz) -> Likely dynamic mastering (-20pts)",0,50,spectral+temporal
fd-exchange-v2-2026-08-0402.flac,fd-exchange-v2,,87,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-4.7 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R14: high-frequency variation collapses at 20037 Hz (0.66) — independent witness, no points | R15: the stereo side channel dies in runs of 10 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.97 [raw 0.94], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0403.flac,fd-exchange-v2,,87,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-3.5 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R15: the stereo side channel dies in runs of 11 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.98 [raw 0.95], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0404.flac,fd-exchange-v2,,87,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-3.1 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R15: the stereo side channel dies in runs of 18 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
fd-exchange-v2-2026-08-0407.flac,fd-exchange-v2,,57,SUSPICIOUS,18500.0,nan,R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts),0,50,spectral
fd-exchange-v2-2026-08-0409.flac,fd-exchange-v2,,91,FAKE_CERTAIN,17750.0,nan,"R11B: Natural cassette roll-off (-5.6 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 17750 Hz < 20000 Hz (+11pts) | R15: the stereo side channel dies in runs of 5 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.98 [raw 0.95], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo
