file,verdict
fd-exchange-v3-setA-r2-0044,SUSPICIOUS
fd-exchange-v3-setA-r2-0045,SUSPICIOUS
fd-exchange-v3-setA-r2-0046,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0047,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0048,SUSPICIOUS
fd-exchange-v3-setA-r2-0049,SUSPICIOUS
fd-exchange-v3-setA-r2-0050,SUSPICIOUS
fd-exchange-v3-setA-r2-0051,SUSPICIOUS
fd-exchange-v3-setA-r2-0052,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0053,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0054,AUTHENTIC
fd-exchange-v3-setA-r2-0055,SUSPICIOUS
fd-exchange-v3-setA-r2-0056,SUSPICIOUS
fd-exchange-v3-setA-r2-0057,SUSPICIOUS
fd-exchange-v3-setA-r2-0058,SUSPICIOUS
fd-exchange-v3-setA-r2-0059,AUTHENTIC
fd-exchange-v3-setA-r2-0060,SUSPICIOUS
fd-exchange-v3-setA-r2-0061,AUTHENTIC
fd-exchange-v3-setA-r2-0062,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0063,SUSPICIOUS
fd-exchange-v3-setA-r2-0064,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0065,SUSPICIOUS
fd-exchange-v3-setA-r2-0066,SUSPICIOUS
fd-exchange-v3-setA-r2-0067,AUTHENTIC
fd-exchange-v3-setA-r2-0068,SUSPICIOUS
fd-exchange-v3-setA-r2-0069,SUSPICIOUS
fd-exchange-v3-setA-r2-0070,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0071,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0072,SUSPICIOUS
fd-exchange-v3-setA-r2-0073,SUSPICIOUS
fd-exchange-v3-setA-r2-0074,SUSPICIOUS
fd-exchange-v3-setA-r2-0075,SUSPICIOUS
fd-exchange-v3-setA-r2-0076,SUSPICIOUS
fd-exchange-v3-setA-r2-0077,SUSPICIOUS
fd-exchange-v3-setA-r2-0078,SUSPICIOUS
fd-exchange-v3-setA-r2-0079,SUSPICIOUS
fd-exchange-v3-setA-r2-0080,SUSPICIOUS
fd-exchange-v3-setA-r2-0081,SUSPICIOUS
fd-exchange-v3-setA-r2-0082,AUTHENTIC
fd-exchange-v3-setA-r2-0083,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0084,SUSPICIOUS
fd-exchange-v3-setA-r2-0085,AUTHENTIC
fd-exchange-v3-setA-r2-0086,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0087,SUSPICIOUS
fd-exchange-v3-setA-r2-0088,SUSPICIOUS
fd-exchange-v3-setA-r2-0089,SUSPICIOUS
fd-exchange-v3-setA-r2-0090,SUSPICIOUS
fd-exchange-v3-setA-r2-0091,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0092,SUSPICIOUS
fd-exchange-v3-setA-r2-0093,SUSPICIOUS
fd-exchange-v3-setA-r2-0094,SUSPICIOUS
fd-exchange-v3-setA-r2-0095,SUSPICIOUS
fd-exchange-v3-setA-r2-0096,AUTHENTIC
fd-exchange-v3-setA-r2-0097,SUSPICIOUS
fd-exchange-v3-setA-r2-0098,SUSPICIOUS
fd-exchange-v3-setA-r2-0099,SUSPICIOUS
fd-exchange-v3-setA-r2-0100,SUSPICIOUS
fd-exchange-v3-setA-r2-0101,SUSPICIOUS
fd-exchange-v3-setA-r2-0102,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0103,SUSPICIOUS
fd-exchange-v3-setA-r2-0104,SUSPICIOUS
fd-exchange-v3-setA-r2-0105,SUSPICIOUS
fd-exchange-v3-setA-r2-0106,SUSPICIOUS
fd-exchange-v3-setA-r2-0107,SUSPICIOUS
fd-exchange-v3-setA-r2-0108,SUSPICIOUS
fd-exchange-v3-setA-r2-0109,AUTHENTIC
fd-exchange-v3-setA-r2-0110,SUSPICIOUS
fd-exchange-v3-setA-r2-0111,SUSPICIOUS
fd-exchange-v3-setA-r2-0112,SUSPICIOUS
fd-exchange-v3-setA-r2-0113,AUTHENTIC
fd-exchange-v3-setA-r2-0114,SUSPICIOUS
fd-exchange-v3-setA-r2-0115,SUSPICIOUS
fd-exchange-v3-setA-r2-0116,SUSPICIOUS
fd-exchange-v3-setA-r2-0117,SUSPICIOUS
fd-exchange-v3-setA-r2-0118,SUSPICIOUS
fd-exchange-v3-setA-r2-0119,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0120,SUSPICIOUS
fd-exchange-v3-setA-r2-0121,SUSPICIOUS
fd-exchange-v3-setA-r2-0122,SUSPICIOUS
fd-exchange-v3-setA-r2-0123,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0124,SUSPICIOUS
fd-exchange-v3-setA-r2-0125,SUSPICIOUS
fd-exchange-v3-setA-r2-0126,SUSPICIOUS
fd-exchange-v3-setA-r2-0127,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0128,AUTHENTIC
fd-exchange-v3-setA-r2-0129,SUSPICIOUS
fd-exchange-v3-setA-r2-0130,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0131,SUSPICIOUS
fd-exchange-v3-setA-r2-0132,SUSPICIOUS
fd-exchange-v3-setA-r2-0133,SUSPICIOUS
fd-exchange-v3-setA-r2-0134,SUSPICIOUS
fd-exchange-v3-setA-r2-0135,SUSPICIOUS
fd-exchange-v3-setA-r2-0136,SUSPICIOUS
fd-exchange-v3-setA-r2-0137,SUSPICIOUS
fd-exchange-v3-setA-r2-0138,AUTHENTIC
fd-exchange-v3-setA-r2-0139,SUSPICIOUS
fd-exchange-v3-setA-r2-0140,SUSPICIOUS
fd-exchange-v3-setA-r2-0141,SUSPICIOUS
fd-exchange-v3-setA-r2-0142,AUTHENTIC
fd-exchange-v3-setA-r2-0143,SUSPICIOUS
fd-exchange-v3-setA-r2-0144,SUSPICIOUS
fd-exchange-v3-setA-r2-0145,SUSPICIOUS
fd-exchange-v3-setA-r2-0146,SUSPICIOUS
fd-exchange-v3-setA-r2-0147,SUSPICIOUS
fd-exchange-v3-setA-r2-0148,AUTHENTIC
fd-exchange-v3-setA-r2-0149,SUSPICIOUS
fd-exchange-v3-setA-r2-0150,AUTHENTIC
fd-exchange-v3-setA-r2-0151,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0152,SUSPICIOUS
fd-exchange-v3-setA-r2-0153,SUSPICIOUS
fd-exchange-v3-setA-r2-0154,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0155,SUSPICIOUS
fd-exchange-v3-setA-r2-0156,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0157,SUSPICIOUS
fd-exchange-v3-setA-r2-0158,SUSPICIOUS
fd-exchange-v3-setA-r2-0159,AUTHENTIC
fd-exchange-v3-setA-r2-0160,SUSPICIOUS
fd-exchange-v3-setA-r2-0161,SUSPICIOUS
fd-exchange-v3-setA-r2-0162,SUSPICIOUS
fd-exchange-v3-setA-r2-0163,SUSPICIOUS
fd-exchange-v3-setA-r2-0164,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0165,SUSPICIOUS
fd-exchange-v3-setA-r2-0166,SUSPICIOUS
fd-exchange-v3-setA-r2-0167,SUSPICIOUS
fd-exchange-v3-setA-r2-0168,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0169,SUSPICIOUS
fd-exchange-v3-setA-r2-0170,SUSPICIOUS
fd-exchange-v3-setA-r2-0171,AUTHENTIC
fd-exchange-v3-setA-r2-0172,SUSPICIOUS
fd-exchange-v3-setA-r2-0173,SUSPICIOUS
fd-exchange-v3-setA-r2-0174,SUSPICIOUS
fd-exchange-v3-setA-r2-0175,AUTHENTIC
fd-exchange-v3-setA-r2-0176,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0177,AUTHENTIC
fd-exchange-v3-setA-r2-0178,SUSPICIOUS
fd-exchange-v3-setA-r2-0179,AUTHENTIC
fd-exchange-v3-setA-r2-0180,SUSPICIOUS
fd-exchange-v3-setA-r2-0181,SUSPICIOUS
fd-exchange-v3-setA-r2-0182,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0183,SUSPICIOUS
fd-exchange-v3-setA-r2-0184,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0185,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0186,SUSPICIOUS
fd-exchange-v3-setA-r2-0187,AUTHENTIC
fd-exchange-v3-setA-r2-0188,SUSPICIOUS
fd-exchange-v3-setA-r2-0189,SUSPICIOUS
fd-exchange-v3-setA-r2-0190,SUSPICIOUS
fd-exchange-v3-setA-r2-0191,AUTHENTIC
fd-exchange-v3-setA-r2-0192,SUSPICIOUS
fd-exchange-v3-setA-r2-0193,SUSPICIOUS
fd-exchange-v3-setA-r2-0194,SUSPICIOUS
fd-exchange-v3-setA-r2-0195,SUSPICIOUS
fd-exchange-v3-setA-r2-0196,SUSPICIOUS
fd-exchange-v3-setA-r2-0197,SUSPICIOUS
fd-exchange-v3-setA-r2-0198,SUSPICIOUS
fd-exchange-v3-setA-r2-0199,SUSPICIOUS
fd-exchange-v3-setA-r2-0200,SUSPICIOUS
fd-exchange-v3-setA-r2-0201,SUSPICIOUS
fd-exchange-v3-setA-r2-0202,SUSPICIOUS
fd-exchange-v3-setA-r2-0203,SUSPICIOUS
fd-exchange-v3-setA-r2-0204,SUSPICIOUS
fd-exchange-v3-setA-r2-0205,SUSPICIOUS
fd-exchange-v3-setA-r2-0206,SUSPICIOUS
fd-exchange-v3-setA-r2-0207,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0208,SUSPICIOUS
fd-exchange-v3-setA-r2-0209,SUSPICIOUS
fd-exchange-v3-setA-r2-0210,SUSPICIOUS
fd-exchange-v3-setA-r2-0211,SUSPICIOUS
fd-exchange-v3-setA-r2-0212,SUSPICIOUS
fd-exchange-v3-setA-r2-0213,AUTHENTIC
fd-exchange-v3-setA-r2-0214,SUSPICIOUS
fd-exchange-v3-setA-r2-0215,SUSPICIOUS
fd-exchange-v3-setA-r2-0216,SUSPICIOUS
fd-exchange-v3-setA-r2-0217,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0218,AUTHENTIC
fd-exchange-v3-setA-r2-0219,SUSPICIOUS
fd-exchange-v3-setA-r2-0220,SUSPICIOUS
fd-exchange-v3-setA-r2-0221,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0222,SUSPICIOUS
fd-exchange-v3-setA-r2-0223,SUSPICIOUS
fd-exchange-v3-setA-r2-0224,SUSPICIOUS
fd-exchange-v3-setA-r2-0225,SUSPICIOUS
fd-exchange-v3-setA-r2-0226,SUSPICIOUS
fd-exchange-v3-setA-r2-0227,SUSPICIOUS
fd-exchange-v3-setA-r2-0228,SUSPICIOUS
fd-exchange-v3-setA-r2-0229,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0230,SUSPICIOUS
fd-exchange-v3-setA-r2-0231,AUTHENTIC
fd-exchange-v3-setA-r2-0232,AUTHENTIC
fd-exchange-v3-setA-r2-0233,SUSPICIOUS
fd-exchange-v3-setA-r2-0234,SUSPICIOUS
fd-exchange-v3-setA-r2-0235,SUSPICIOUS
fd-exchange-v3-setA-r2-0236,SUSPICIOUS
fd-exchange-v3-setA-r2-0237,SUSPICIOUS
fd-exchange-v3-setA-r2-0238,SUSPICIOUS
fd-exchange-v3-setA-r2-0239,SUSPICIOUS
fd-exchange-v3-setA-r2-0240,SUSPICIOUS
fd-exchange-v3-setA-r2-0241,SUSPICIOUS
fd-exchange-v3-setA-r2-0242,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0243,SUSPICIOUS
fd-exchange-v3-setA-r2-0244,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0245,SUSPICIOUS
fd-exchange-v3-setA-r2-0246,SUSPICIOUS
fd-exchange-v3-setA-r2-0247,SUSPICIOUS
fd-exchange-v3-setA-r2-0248,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0249,SUSPICIOUS
fd-exchange-v3-setA-r2-0250,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0251,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0252,SUSPICIOUS
fd-exchange-v3-setA-r2-0253,SUSPICIOUS
fd-exchange-v3-setA-r2-0254,SUSPICIOUS
fd-exchange-v3-setA-r2-0255,AUTHENTIC
fd-exchange-v3-setA-r2-0256,SUSPICIOUS
fd-exchange-v3-setA-r2-0257,SUSPICIOUS
fd-exchange-v3-setA-r2-0258,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0259,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0260,SUSPICIOUS
fd-exchange-v3-setA-r2-0261,AUTHENTIC
fd-exchange-v3-setA-r2-0262,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0263,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0264,SUSPICIOUS
fd-exchange-v3-setA-r2-0265,SUSPICIOUS
fd-exchange-v3-setA-r2-0266,SUSPICIOUS
fd-exchange-v3-setA-r2-0267,SUSPICIOUS
fd-exchange-v3-setA-r2-0268,AUTHENTIC
fd-exchange-v3-setA-r2-0269,AUTHENTIC
fd-exchange-v3-setA-r2-0270,SUSPICIOUS
fd-exchange-v3-setA-r2-0271,SUSPICIOUS
fd-exchange-v3-setA-r2-0272,SUSPICIOUS
fd-exchange-v3-setA-r2-0273,SUSPICIOUS
fd-exchange-v3-setA-r2-0274,SUSPICIOUS
fd-exchange-v3-setA-r2-0275,SUSPICIOUS
fd-exchange-v3-setA-r2-0276,AUTHENTIC
fd-exchange-v3-setA-r2-0277,SUSPICIOUS
fd-exchange-v3-setA-r2-0278,SUSPICIOUS
fd-exchange-v3-setA-r2-0279,AUTHENTIC
fd-exchange-v3-setA-r2-0280,SUSPICIOUS
fd-exchange-v3-setA-r2-0281,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0282,SUSPICIOUS
fd-exchange-v3-setA-r2-0283,SUSPICIOUS
fd-exchange-v3-setA-r2-0284,SUSPICIOUS
fd-exchange-v3-setA-r2-0285,SUSPICIOUS
fd-exchange-v3-setA-r2-0286,SUSPICIOUS
fd-exchange-v3-setA-r2-0287,AUTHENTIC
fd-exchange-v3-setA-r2-0288,SUSPICIOUS
