file_id,score,verdict,cutoff_freq,Rule13MDCTAlignment
4529359c96a0,0,AUTHENTIC,24000.0,0
f564d79f51e2,0,AUTHENTIC,22050.0,0
01441e125ed8,0,AUTHENTIC,24000.0,0
dcc991017f5c,0,AUTHENTIC,21250.0,0
7a0549cac45d,14,AUTHENTIC,20750.0,0
b3466d15eda2,0,AUTHENTIC,21000.0,0
23be2e4c6169,31,WARNING,20500.0,0
792fd27cae3f,2,AUTHENTIC,20750.0,0
44b64985a885,19,AUTHENTIC,20500.0,0
4563e6d1cea5,38,WARNING,14000.0,
cb4f93a15e2c,0,AUTHENTIC,22050.0,0
de91eeed65ae,30,AUTHENTIC,14000.0,
1cdd362419d4,0,AUTHENTIC,22050.0,0
efe1ac01720b,0,AUTHENTIC,22050.0,0
4fa225f57edb,0,AUTHENTIC,22050.0,0
c88cf3c66659,0,AUTHENTIC,24000.0,0
e4093e9d0c0c,5,AUTHENTIC,19000.0,0
99629241e27a,0,AUTHENTIC,21250.0,0
76d02ec6826e,0,AUTHENTIC,24000.0,0
3483206da20d,0,AUTHENTIC,24000.0,0
60e78de87bc2,0,AUTHENTIC,22050.0,0
3c2b9d2f504b,0,AUTHENTIC,24000.0,0
6c5617be0f5d,0,AUTHENTIC,22050.0,0
30605d4548e9,0,AUTHENTIC,22050.0,0
2780979b74d5,0,AUTHENTIC,22050.0,0
30d1695d3ec2,0,AUTHENTIC,22050.0,0
40edc6f660b0,0,AUTHENTIC,22000.0,0
e1a72319294f,0,AUTHENTIC,22050.0,0
2e61752e2ccb,1,AUTHENTIC,21750.0,0
b9aab4160877,105,FAKE_CERTAIN,21000.0,
1eb34b8dfd56,106,FAKE_CERTAIN,20750.0,
d8401fb313c5,0,AUTHENTIC,22050.0,0
9cfc3bd62ea1,0,AUTHENTIC,22050.0,0
5132581932e6,0,AUTHENTIC,48000.0,0
c6eb9881e744,0,AUTHENTIC,48000.0,0
14d4a4668281,0,AUTHENTIC,22050.0,0
005b8722b7ba,0,AUTHENTIC,22050.0,0
75f86bdaa7a5,0,AUTHENTIC,22050.0,0
1526c8c041fc,0,AUTHENTIC,22050.0,0
f94481e671ea,0,AUTHENTIC,20250.0,0
a38fde589190,0,AUTHENTIC,20250.0,0
7d6b2713e4da,0,AUTHENTIC,24000.0,0
8d7b5a242f98,0,AUTHENTIC,24000.0,0
92747e18ee77,0,AUTHENTIC,24000.0,0
4ef1aa7944ed,0,AUTHENTIC,24000.0,0
99e021647147,0,AUTHENTIC,23250.0,0
ac254db870c2,0,AUTHENTIC,22050.0,0
5b91d879055c,0,AUTHENTIC,24000.0,0
2fd5e653c482,0,AUTHENTIC,22050.0,0
c3563c90c2ce,0,AUTHENTIC,22050.0,0
a24dd3c76de2,33,WARNING,18750.0,0
224344a78ef1,0,AUTHENTIC,22050.0,0
fce860b09464,31,WARNING,18500.0,0
5e21f3a4dbeb,0,AUTHENTIC,22050.0,0
b4dae239c84d,0,AUTHENTIC,22050.0,0
c6ed6dfa492d,0,AUTHENTIC,21750.0,0
4f4fa082cfee,0,AUTHENTIC,21500.0,0
ddffc8737a3f,0,AUTHENTIC,22050.0,0
666cb95720b6,31,WARNING,20750.0,0
e4056312482e,0,AUTHENTIC,22050.0,0
99771562367f,17,AUTHENTIC,20250.0,0
7ab0dab88bae,18,AUTHENTIC,19750.0,0
93bc709e09ee,0,AUTHENTIC,22050.0,0
a535633e1af4,31,WARNING,20500.0,0
373a4a2c16bd,0,AUTHENTIC,21250.0,0
f696a851ca72,0,AUTHENTIC,22050.0,0
5f6087d25d80,0,AUTHENTIC,20500.0,0
7a624938fe03,0,AUTHENTIC,20250.0,0
440041a1d723,0,AUTHENTIC,22050.0,0
0740f70f6302,0,AUTHENTIC,17750.0,
1cf67f820c42,0,AUTHENTIC,22050.0,0
9e195f8a9e6b,0,AUTHENTIC,20500.0,0
4cdabaa6968a,0,AUTHENTIC,21250.0,0
2db203dffcf4,0,AUTHENTIC,22050.0,0
0f81c1b80bbe,0,AUTHENTIC,22050.0,0
be7f6a1bd076,0,AUTHENTIC,22050.0,0
45fa06601e01,0,AUTHENTIC,22050.0,0
51eb1f142e7a,0,AUTHENTIC,22050.0,0
a227c92aec15,0,AUTHENTIC,22050.0,0
01bfe25c8a58,0,AUTHENTIC,22050.0,0
064973787ba1,0,AUTHENTIC,20750.0,0
06bd26a18aad,3,AUTHENTIC,19250.0,0
667ada524a2f,0,AUTHENTIC,16000.0,
e4e06db6b323,0,AUTHENTIC,22050.0,0
758735c9b884,0,AUTHENTIC,22050.0,0
9040bdfa6942,31,WARNING,16000.0,
f997c7e94c63,0,AUTHENTIC,24000.0,0
f5e6cce2fc12,0,AUTHENTIC,24000.0,0
982c42431589,0,AUTHENTIC,22050.0,0
837163dbec79,0,AUTHENTIC,22050.0,0
e9caffd6a362,0,AUTHENTIC,21250.0,0
1f45b20616fb,0,AUTHENTIC,22050.0,0
668af6c166b0,0,AUTHENTIC,22050.0,0
f3138cc2ecfd,0,AUTHENTIC,22050.0,0
77ca97ce5a7a,0,AUTHENTIC,22050.0,0
83359887a39d,0,AUTHENTIC,22050.0,0
979a346009ba,0,AUTHENTIC,22050.0,0
3528c9105af7,0,AUTHENTIC,24000.0,0
ac6d3da8c0c4,0,AUTHENTIC,22050.0,0
49858da98949,0,AUTHENTIC,24000.0,0
0dc35b2426e0,0,AUTHENTIC,23250.0,0
6e0a7937b4b0,0,AUTHENTIC,23500.0,0
